param_criterion,param_max_depth,param_min_samples_leaf,param_min_samples_split,mean_test_score,std_test_score,rank_test_score
gini,20,3,6,0.895187165775401,0.012318825342724413,91
gini,20,1,2,0.895187165775401,0.008082555471482802,91
gini,,3,2,0.895187165775401,0.012318825342724413,91
gini,,3,4,0.895187165775401,0.012318825342724413,91
gini,,3,8,0.8948306595365418,0.010575684117070468,99
gini,20,3,8,0.8948306595365418,0.010575684117070468,99
gini,10,1,2,0.8926916221033867,0.01242156961866976,101
gini,10,1,6,0.8916221033868093,0.016468890499038977,102
gini,10,1,8,0.8916221033868093,0.016963104817640372,102
gini,10,1,4,0.8916221033868093,0.013917448339353386,102
gini,10,3,8,0.8912655971479501,0.01426024955436723,105
gini,10,7,8,0.8905525846702318,0.014595001419221912,106
gini,10,7,4,0.8905525846702318,0.014595001419221912,106
gini,10,7,6,0.8905525846702318,0.014595001419221912,106
gini,10,7,2,0.8905525846702318,0.014595001419221912,106
gini,10,9,8,0.8884135472370766,0.015686274509803918,110
gini,10,9,4,0.8884135472370766,0.015686274509803918,110
gini,10,9,6,0.8884135472370766,0.015686274509803918,110
gini,10,9,2,0.8884135472370766,0.015686274509803918,110
gini,10,3,4,0.8877005347593583,0.016453448497988327,114
gini,10,3,6,0.8877005347593583,0.016453448497988327,114
gini,10,3,2,0.8877005347593583,0.016453448497988327,114
gini,10,5,8,0.8866310160427806,0.0154000791917684,117
gini,10,5,6,0.8866310160427806,0.0154000791917684,117
gini,10,5,4,0.8866310160427806,0.0154000791917684,117
gini,10,5,2,0.8866310160427806,0.0154000791917684,117
entropy,5,1,2,0.7953654188948306,0.013262798743485434,121
entropy,5,1,4,0.7950089126559714,0.01290335905230224,122
entropy,5,5,4,0.7946524064171123,0.01599914842945943,123
entropy,5,5,2,0.7946524064171123,0.01599914842945943,123
entropy,5,5,6,0.7946524064171123,0.01599914842945943,123
entropy,5,5,8,0.7946524064171123,0.01599914842945943,123
entropy,5,7,2,0.793939393939394,0.014768139163784652,127
entropy,5,7,4,0.793939393939394,0.014768139163784652,127
entropy,5,7,6,0.793939393939394,0.014768139163784652,127
entropy,5,7,8,0.793939393939394,0.014768139163784652,127
entropy,5,9,4,0.7935828877005349,0.01583947229342109,131
entropy,5,9,2,0.7935828877005349,0.01583947229342109,131
entropy,5,9,8,0.7935828877005349,0.01583947229342109,131
entropy,5,9,6,0.7935828877005349,0.01583947229342109,131
entropy,5,1,6,0.7932263814616756,0.01319554761021161,135
entropy,5,1,8,0.7925133689839572,0.012883644206483193,136
entropy,5,3,6,0.7925133689839572,0.015317326958246611,136
entropy,5,3,2,0.7925133689839572,0.015317326958246611,136
entropy,5,3,4,0.7925133689839572,0.015317326958246611,136
entropy,5,3,8,0.7918003565062389,0.015015643271766639,140
gini,5,1,4,0.7668449197860961,0.03771896659877808,141
gini,5,1,2,0.7664884135472371,0.03762787822305529,142
gini,5,1,6,0.7661319073083779,0.038137837063290776,143
gini,5,3,8,0.7661319073083779,0.038469649797408065,143
gini,5,3,6,0.7657754010695188,0.03870351000491147,145
gini,5,3,4,0.7657754010695188,0.03870351000491147,145
gini,5,3,2,0.7657754010695188,0.03870351000491147,145
gini,5,7,8,0.7657754010695187,0.03736688812336224,148
gini,5,7,2,0.7657754010695187,0.03736688812336224,148
gini,5,7,4,0.7657754010695187,0.03736688812336224,148
gini,5,7,6,0.7657754010695187,0.03736688812336224,148
gini,5,1,8,0.7654188948306595,0.03784007668544837,152
gini,5,5,8,0.7654188948306595,0.03753656880774295,152
gini,5,5,6,0.7654188948306595,0.03753656880774295,152
gini,5,5,4,0.7654188948306595,0.03753656880774295,152
gini,5,5,2,0.7654188948306595,0.03753656880774295,152
gini,5,9,2,0.764349376114082,0.03655536467339348,157
gini,5,9,4,0.764349376114082,0.03655536467339348,157
gini,5,9,6,0.764349376114082,0.03655536467339348,157
gini,5,9,8,0.764349376114082,0.03655536467339348,157
